,ds,train_size,quantity,rmse,rmse
,,,,median,std
0,ds1,1000,mean_est,0.7375944329178853,0.21184998744780778
1,ds1,1000,var_est_mse,0.503303626604102,0.5299572684878135
2,ds1,1000,var_est_nll,0.8908786383274121,0.6457652155037574
3,ds1,3000,mean_est,0.5811005899644345,0.16359657160778351
4,ds1,3000,var_est_mse,0.34150811632093786,0.3117240772836587
5,ds1,3000,var_est_nll,0.49311805042453993,0.3210356877753203
7,ds1,5000,var_est_mse,0.4015446148737255,0.24249064421952496
8,ds1,5000,var_est_nll,0.4427347813310437,0.19791057583527938
6,ds1,5000,mean_est,0.5498666490114301,0.12612726769475402
10,ds1,10000,var_est_mse,0.45097960429379624,0.28687683588726326
9,ds1,10000,mean_est,0.47241269578554623,0.19168949275956598
11,ds1,10000,var_est_nll,0.419734862645445,0.45079423208399694
14,ds2,1000,var_est_nll,1.594389945887803,0.491055821906369
12,ds2,1000,mean_est,0.637895110015372,0.13411594289758086
13,ds2,1000,var_est_mse,1.2336542372936858,2.2923299097765186
16,ds2,3000,var_est_mse,0.9316737793543857,0.7683208137564754
15,ds2,3000,mean_est,0.6218211899141672,0.18451545347890524
17,ds2,3000,var_est_nll,1.4925964245649803,0.5836477771504139
18,ds2,5000,mean_est,0.5571486864156465,0.11832551616261022
19,ds2,5000,var_est_mse,0.8289188846225499,0.37613602311474037
20,ds2,5000,var_est_nll,0.9428645374174691,0.5126775883077469
23,ds2,10000,var_est_nll,0.6988743117029592,0.45625681344992014
22,ds2,10000,var_est_mse,0.9999737883440352,0.323180436224059
21,ds2,10000,mean_est,0.539061713959059,0.10218839642361298
26,ds3,1000,var_est_nll,1.4385886719264585,0.32566041041042015
25,ds3,1000,var_est_mse,1.218911611461977,0.21053804004171725
24,ds3,1000,mean_est,0.5760979413104969,0.17384904188194886
29,ds3,3000,var_est_nll,1.0232306360507353,0.2952451702503015
28,ds3,3000,var_est_mse,1.2122101890416546,0.24525765514110137
27,ds3,3000,mean_est,0.582395320999193,0.15210356740522826
32,ds3,5000,var_est_nll,0.9486255038650899,0.1951083920750568
31,ds3,5000,var_est_mse,1.155982358475981,0.2530574492995328
30,ds3,5000,mean_est,0.5517527501380178,0.12443123794651807
33,ds3,10000,mean_est,0.7028664126159414,0.18881047722623015
34,ds3,10000,var_est_mse,1.3362746957384943,0.31490061583470264
35,ds3,10000,var_est_nll,1.2225972170355708,0.32028738965819137
